location,timestamp,P0,P1,P2,humidity,temperature
76,2026-01-10 04:00:00+00:00,17.333333333333332,31.5,27.833333333333332,84.8,17.483333333333334
76,2026-01-10 05:00:00+00:00,11.3,20.6,18.1,56.48,26.74
76,2026-01-10 06:00:00+00:00,8.875,16.375,15.0,38.6125,34.125
76,2026-01-10 08:00:00+00:00,9.5,17.5,16.0,68.4,23.700000000000003
76,2026-01-10 09:00:00+00:00,10.3,18.3,16.2,64.05,25.330000000000002
76,2026-01-10 10:00:00+00:00,10.5,20.5,18.1,59.42999999999999,26.080000000000002
76,2026-01-10 11:00:00+00:00,8.5,16.0,14.1,54.55,27.619999999999997
76,2026-01-10 12:00:00+00:00,7.2727272727272725,13.272727272727273,11.727272727272727,49.75454545454545,29.11818181818182
76,2026-01-10 13:00:00+00:00,4.7,9.1,8.3,47.05,29.360000000000003
76,2026-01-10 14:00:00+00:00,5.285714285714286,9.428571428571429,8.285714285714286,48.08571428571429,27.599999999999998
76,2026-01-10 15:00:00+00:00,6.6,13.0,10.733333333333333,53.99411764705882,23.74705882352941
76,2026-01-10 16:00:00+00:00,8.7,15.55,13.85,58.385000000000005,22.275
76,2026-01-10 17:00:00+00:00,9.761904761904763,16.952380952380953,15.095238095238095,60.88571428571428,21.285714285714285
76,2026-01-10 18:00:00+00:00,13.65,23.6,21.1,64.45,20.465
76,2026-01-10 19:00:00+00:00,15.047619047619047,25.80952380952381,23.333333333333332,66.81904761904762,19.914285714285715
76,2026-01-10 20:00:00+00:00,15.761904761904763,27.714285714285715,24.761904761904763,69.58571428571429,19.447619047619046
76,2026-01-10 21:00:00+00:00,12.95,24.3,21.2,71.16499999999999,19.130000000000003
76,2026-01-10 22:00:00+00:00,9.333333333333334,19.142857142857142,17.095238095238095,73.62380952380951,18.747619047619047
76,2026-01-10 23:00:00+00:00,7.85,17.1,14.35,76.17,18.22
76,2026-01-11 00:00:00+00:00,7.238095238095238,14.666666666666666,13.095238095238095,77.55714285714286,18.01904761904762
76,2026-01-11 01:00:00+00:00,6.7,14.15,11.6,78.55499999999999,17.805
76,2026-01-11 02:00:00+00:00,8.285714285714286,15.857142857142858,14.047619047619047,80.74285714285713,17.304761904761904
76,2026-01-11 03:00:00+00:00,10.722222222222221,19.77777777777778,16.944444444444443,85.44444444444444,16.65
76,2026-01-11 04:00:00+00:00,14.272727272727273,26.181818181818183,23.09090909090909,64.5,21.263636363636365
76,2026-01-11 05:00:00+00:00,6.7,13.6,10.5,45.11,29.32
76,2026-01-11 06:00:00+00:00,4.857142857142857,9.0,8.428571428571429,38.15,33.28333333333333
76,2026-01-11 15:00:00+00:00,5.0,10.272727272727273,8.181818181818182,48.44615384615385,24.184615384615384
76,2026-01-11 16:00:00+00:00,6.473684210526316,11.947368421052632,10.578947368421053,51.242105263157896,22.931578947368422
76,2026-01-11 17:00:00+00:00,9.7,16.9,15.4,53.785000000000004,21.825
76,2026-01-11 18:00:00+00:00,8.85,15.45,13.6,54.620000000000005,20.965
76,2026-01-11 19:00:00+00:00,10.95,18.1,16.3,56.25,20.765
76,2026-01-11 20:00:00+00:00,11.1,20.2,17.55,61.015,19.865000000000002
76,2026-01-11 21:00:00+00:00,9.6,16.5,15.3,65.175,19.155
76,2026-01-11 22:00:00+00:00,8.15,16.25,13.85,70.03,18.759999999999998
76,2026-01-11 23:00:00+00:00,6.85,12.35,10.95,75.795,18.41
76,2026-01-12 00:00:00+00:00,7.157894736842105,14.894736842105264,12.736842105263158,80.27894736842104,17.54736842105263
76,2026-01-12 01:00:00+00:00,9.375,18.5625,16.375,79.55625,17.5625
76,2026-01-12 02:00:00+00:00,12.357142857142858,21.5,19.571428571428573,80.92142857142858,17.47142857142857
76,2026-01-12 03:00:00+00:00,16.333333333333332,26.5,24.5,80.35000000000001,17.791666666666668
76,2026-01-12 04:00:00+00:00,23.0,40.0,35.0,84.4,17.6
76,2026-01-12 15:00:00+00:00,7.947368421052632,13.631578947368421,12.31578947368421,67.405,21.82
